FileName,WellId,Sample Description,From [bp],To [bp],Average Size [bp],Conc. [ng/l],Region Molarity [nmol/l],% of Total
AF_LIB_11.17.15.D1000,A1,82,100,750,361,0.174,0.812,9.84
AF_LIB_11.17.15.D1000,B1,85,100,750,356,1.16,5.29,44.46
AF_LIB_11.17.15.D1000,C1,86,100,750,370,5.57,24.5,78.42
AF_LIB_11.17.15.D1000,D1,87,100,750,367,9.7,42.8,88.09
AF_LIB_11.17.15.D1000,E1,88,100,750,372,5.53,24,79.86
AF_LIB_11.17.15.D1000,F1,89,100,750,372,7.66,33.4,85.72
AF_LIB_11.17.15.D1000,G1,90,100,750,370,8.34,36.4,87.73
AF_LIB_11.17.15.D1000,H1,91,100,750,365,3.4,15.1,76.04
AF_LIB_11.17.15.D1000,A2,92,100,750,377,4.36,18.7,73.95
AF_LIB_11.17.15.D1000,B2,93,100,750,372,1.35,5.86,51.93
AF_LIB_11.17.15.D1000,C2,94,100,750,378,4.14,17.7,77.13
AF_LIB_11.17.15.D1000,D2,95,100,750,379,6.98,29.8,84.22
AF_LIB_11.17.15.D1000,E2,96,100,750,363,6.35,28.3,84.2
AF_LIB_11.17.15.D1000,F2,13,100,750,373,6.53,28.3,84.93
AF_LIB_11.17.15.D1000,G2,46,100,750,370,15.5,67.6,92.93
AF_LIB_11.17.15.D1000,H2,49,100,750,372,7.06,30.7,84.16
